t,particle,x,y,vx,vy,speed
17.439999999999717,4,0.8726087474594011,0.8889113018122569,-0.8419596114537105,-1.004022042333038,1.3103267717672138
17.459999999999717,1,0.5714403242096054,0.493863297771141,0.25015846946637255,-0.027341420247415038,0.2516481931326029
17.459999999999717,2,0.35407350130304693,0.45741156055108567,0.20288027676752485,0.4996639702946224,0.5392814570443274
17.459999999999717,3,0.6229525281290159,0.8283128110650604,1.39808452828705,0.7939134336431082,1.607774514151351
17.459999999999717,4,0.8557695552303268,0.8688308609655961,-0.8419596114537105,-1.004022042333038,1.3103267717672138
17.479999999999716,1,0.5764434935989329,0.4933164693661927,0.25015846946637255,-0.027341420247415038,0.2516481931326029
17.479999999999716,2,0.35813110683839744,0.4674048399569781,0.20288027676752485,0.4996639702946224,0.5392814570443274
17.479999999999716,3,0.650914218694757,0.8441910797379225,-0.8842169520984977,0.7385682432630506,1.1520949042223152
17.479999999999716,4,0.8389303630012526,0.8487504201189354,1.4403418689318372,-0.9486768519529803,1.7246948915183449
17.499999999999716,1,0.5814466629882603,0.4927696409612444,0.25015846946637255,-0.027341420247415038,0.2516481931326029
17.499999999999716,2,0.36218871237374795,0.4773981193628706,0.20288027676752485,0.4996639702946224,0.5392814570443274
17.499999999999716,3,0.633229879652787,0.8589624446031835,-0.8842169520984977,0.7385682432630506,1.1520949042223152
17.499999999999716,4,0.8677372003798893,0.8297768830798758,1.4403418689318372,-0.9486768519529803,1.7246948915183449
17.519999999999715,1,0.5864498323775877,0.49222281255629613,0.25015846946637255,-0.027341420247415038,0.2516481931326029
17.519999999999715,2,0.36624631790909845,0.48739139876876303,0.20288027676752485,0.4996639702946224,0.5392814570443274
17.519999999999715,3,0.615545540610817,0.8737338094684445,-0.8842169520984977,0.7385682432630506,1.1520949042223152
17.519999999999715,4,0.8965440377585261,0.8108033460408163,1.4403418689318372,-0.9486768519529803,1.7246948915183449
17.539999999999715,1,0.5914530017669152,0.49167598415134783,0.25015846946637255,-0.027341420247415038,0.2516481931326029
17.539999999999715,2,0.37030392344444896,0.4973846781746555,0.20288027676752485,0.4996639702946224,0.5392814570443274
17.539999999999715,3,0.597861201568847,0.8885051743337055,-0.8842169520984977,0.7385682432630506,1.1520949042223152
17.539999999999715,4,0.9253508751371629,0.7918298090017567,-1.4403418689318372,-0.9486768519529803,1.7246948915183449
17.559999999999715,1,0.5964561711562426,0.49112915574639954,0.25015846946637255,-0.027341420247415038,0.2516481931326029
17.559999999999715,2,0.37436152897979946,0.5073779575805479,0.20288027676752485,0.4996639702946224,0.5392814570443274
17.559999999999715,3,0.5801768625268771,0.9032765391989664,-0.8842169520984977,-0.7385682432630506,1.1520949042223152
17.559999999999715,4,0.8965440377585261,0.7728562719626971,-1.4403418689318372,-0.9486768519529803,1.7246948915183449
17.579999999999714,1,0.60145934054557,0.49058232734145124,0.25015846946637255,-0.027341420247415038,0.2516481931326029
17.579999999999714,2,0.37841913451514997,0.5173712369864404,0.20288027676752485,0.4996639702946224,0.5392814570443274
17.579999999999714,3,0.5624925234849071,0.8885051743337055,-0.8842169520984977,-0.7385682432630506,1.1520949042223152
17.579999999999714,4,0.8677372003798893,0.7538827349236376,-1.4403418689318372,-0.9486768519529803,1.7246948915183449
17.599999999999714,1,0.6064625099348975,0.49003549893650294,0.25015846946637255,-0.027341420247415038,0.2516481931326029
17.599999999999714,2,0.3824767400505005,0.5273645163923328,0.20288027676752485,0.4996639702946224,0.5392814570443274
17.599999999999714,3,0.5448081844429371,0.8737338094684445,-0.8842169520984977,-0.7385682432630506,1.1520949042223152
17.599999999999714,4,0.8389303630012526,0.734909197884578,-1.4403418689318372,-0.9486768519529803,1.7246948915183449
17.619999999999713,1,0.6114656793242249,0.48948867053155465,0.25015846946637255,-0.027341420247415038,0.2516481931326029
17.619999999999713,2,0.386534345585851,0.5373577957982253,0.20288027676752485,0.4996639702946224,0.5392814570443274
